Vocabulary Word,Example Sentence (Swedish),Example Sentence (English)
att kritisera,Det är viktigt att kritisera dåliga idéer.,It is important to criticize bad ideas.
en förklaring,Jag behöver en förklaring på varför du är sen.,I need an explanation for why you are late.
att springa,Jag älskar att springa i parken.,I love to run in the park.
oerhört,Det var oerhört roligt att se dig igen!,It was extremely fun to see you again!
att uppfatta,Jag uppfattar vad du säger.,I understand what you're saying.
ett foto,Jag tog ett foto av min katt.,I took a photo of my cat.
en islam,En islam är en viktig del av många människors liv.,Islam is an important part of many people's lives.
att stänga,"Kan du stänga dörren, tack?","Can you close the door, please?"
en aning,Jag har en aning om vad som kommer att hända.,I have a clue about what is going to happen.
ett försvar,Ett försvar är viktigt för att skydda landet.,A defense is important to protect the country.
en meter,Jag mätte bordet och det är en meter långt.,I measured the table and it is a meter long.
en evolution,En evolution kan ta många år att se.,An evolution can take many years to observe.
en funktion,"Hissen är ur funktion, så vi får ta trappen.","The elevator is out of order, so we have to take the stairs."
en dotter,Hon har en dotter som heter Sara.,She has a daughter named Sara.
en värdering,En värdering av huset visade att det var värt mer än vi trott.,An appraisal of the house showed that it was worth more than we thought.
att råda,Det är alltid bra att råda någon att följa sina drömmar.,It is always good to advise someone to follow their dreams.
en ersättning,Jag fick en ersättning för skadan på bilen.,I received a reimbursement for the damage to the car.
att slippa,Jag vill slippa att städa idag.,I want to get away with not cleaning today.
självklart,Självklart kan jag hjälpa dig med det.,Of course I can help you with that.
lämplig,Det här är en lämplig plats för en picknick.,This is a suitable place for a picnic.
ett ting,Ett ting kan vara både viktigt och enkelt.,A thing can be both important and simple.
ett minne,Ett minne av vår semester gör mig glad.,A memory of our vacation makes me happy.
en strategi,Vi behöver en strategi för att lösa problemet.,We need a strategy to solve the problem.
att dyka,Jag älskar att dyka i klart vatten.,I love to dive in clear water.
att orka,Jag orkar inte gå längre idag.,I don't have the strength to walk any further today.
att kontrollera,Jag behöver kontrollera min e-post varje dag.,I need to check my email every day.
att planera,Jag tycker om att planera mina helger i förväg.,I like to plan my weekends in advance.
en färg,Himlen har en färg som förändras vid solnedgången.,The sky has a color that changes at sunset.
att lova,Jag lovar att hjälpa dig.,I promise to help you.
att citera,Jag vill citera en viktig författare.,I want to quote an important author.
finansiell,Finansiell planering är viktigt för framtiden.,Financial planning is important for the future.
ständigt,Han ställer alltid ständigt frågor.,He constantly asks questions.
ett spår,Det finns ett spår av sand på stranden.,There is a trace of sand on the beach.
kall,Det är kallt ute idag.,It is cold outside today.
vuxen,Som vuxen måste man ta ansvar.,"As an adult, you have to take responsibility."
en allians,Vi bildade en allians för att hjälpa varandra.,We formed an alliance to help each other.
en faktor,En faktor i vår framgång är teamwork.,A factor in our success is teamwork.
en kvalitet,En kvalitet är viktig för ett bra liv.,A quality is important for a good life.
utländsk,Utländsk mat är alltid spännande att prova.,Foreign food is always exciting to try.
svag,Hon kände sig svag efter att ha varit sjuk.,She felt weak after being sick.
att sköta,Jag måste sköta mina växter varje dag.,I must care for my plants every day.
upp,Han gick upp för trappan.,He went up the stairs.
att vägra,Hon vägrar alltid att äta grönsaker.,She always refuses to eat vegetables.
ett rike,Ett rike kan ha många olika kulturer.,A kingdom can have many different cultures.
att framgå,Det framgår tydligt att hon är glad.,It is clear that she is happy.
judisk,Judisk kultur är rik och intressant.,Jewish culture is rich and interesting.
att studera,Jag älskar att studera svenska varje dag.,I love to study Swedish every day.
farlig,Det är farlig att simma i den kalla sjön.,It is dangerous to swim in the cold lake.
en framgång,En framgång kan kännas fantastisk.,A success can feel fantastic.
att tolka,Jag försöker alltid att tolka drömmar på ett positivt sätt.,I always try to interpret dreams in a positive way.
billig,Den här tröjan är billig.,This sweater is cheap.
iväg,Hon körde iväg tidigt på morgonen.,She drove off early in the morning.
en student,En student firar sin examen med sina vänner.,A student celebrates their graduation with their friends.
och så vidare,"Vi kan göra pizza, pasta, och så vidare.","We can make pizza, pasta, and so on."
visserligen,"Visserligen regnar det idag, men vi ska ändå gå ut.","Indeed, it is raining today, but we will still go out."
en vara,En vara kan vara dyr eller billig.,A commodity can be expensive or cheap.
ett undantag,Det finns alltid ett undantag till regeln.,There is always an exception to the rule.
tillgänglig,Hon är alltid tillgänglig för att hjälpa sina vänner.,She is always available to help her friends.
enorm,Den enorma elefanten gick genom parken.,The enormous elephant walked through the park.
att behålla,Jag vill behålla min bok.,I want to keep my book.
att dricka,Jag gillar att dricka kaffe på morgonen.,I like to drink coffee in the morning.
en aktion,En aktion kan förändra världen.,An action can change the world.
att bry sig om,Jag bryr mig om mina vänner.,I care about my friends.
relativt,Det är relativt enkelt att lära sig svenska.,It is relatively easy to learn Swedish.
tung,Min rygg känns tung efter att jag bar på paketet.,My back feels heavy after carrying the package.
en arbetsgivare,En arbetsgivare kan ge bra förmåner.,An employer can provide good benefits.
med hjälp av,Jag löste problemet med hjälp av en bra bok.,I solved the problem with the help of a good book.
tvärtom,"Det är inte kallt idag, tvärtom är det varmt.","It is not cold today; on the contrary, it is warm."
att notera,Det är viktigt att notera detaljerna i rapporten.,It is important to note the details in the report.
en nation,En nation kan ha många olika kulturer.,A nation can have many different cultures.
att sänka,Jag vill sänka mitt blodtryck genom att träna mer.,I want to lower my blood pressure by exercising more.
ett ärende,Jag har ett ärende till posten.,I have an errand to the post office.
en givare,En givare hjälper de som behöver det mest.,A donor helps those who need it the most.
en kull,En kull kattungar leker i trädgården.,A litter of kittens is playing in the garden.
nyligen,Jag nyss träffade en vän som jag inte har sett nyligen.,I just met a friend whom I haven't seen recently.
en rättelse,Jag behöver en rättelse i min uppsats.,I need a correction in my essay.
delvis,Jag är delvis trött idag.,I am partially tired today.
att medföra,Att medföra förändringar kan vara svårt.,To bring about changes can be difficult.
att ifrågasätta,Det är viktigt att ifrågasätta informationen vi får.,It's important to question the information we receive.
för övrigt,"För övrigt, har du sett den nya filmen?","By the way, have you seen the new movie?"
ett län,Jag bor i ett län nära havet.,I live in a county near the sea.
en gata,Jag går alltid på en gata nära mitt hus.,I always walk on a street near my house.
medveten,Jag är medveten om mina svagheter.,I am aware of my weaknesses.
en serie,Jag tittar på en serie varje kväll.,I watch a series every evening.
rimlig,Priset är rimligt för kvaliteten.,The price is reasonable for the quality.
ty,Mötet ställdes in ty vi hade för få deltagare.,The meeting was canceled because we had too few participants.
en invandrare,En invandrare bidrar till samhället.,An immigrant contributes to society.
en dörr,Jag öppnar en dörr till mitt rum.,I open a door to my room.
ett direktiv,Ett direktiv kom från chefen i morse.,A directive came from the boss this morning.
att stiga,Jag gillar att stiga tidigt på morgonen.,I like to get up early in the morning.
att tiga,Ibland är det bäst att tiga.,Sometimes it's best to keep quiet.
en fot,Jag går till skolan till fots varje dag.,I walk to school on foot every day.
begränsad,"Min tid är begränsad, så jag måste skynda mig.","My time is limited, so I have to hurry."
äntligen,Äntligen är det fredag!,"Finally, it's Friday!"
vänster,Sväng vänster vid nästa korsning.,Turn left at the next intersection.
ner,Jag går ner för trappan.,I am going down the stairs.
att väcka,Jag behöver en väckarklocka för att inte försova mig.,I need an alarm clock so I don't oversleep.
att leta,Jag letar efter mina nycklar.,I am looking for my keys.
en häst,En häst springer snabbt på ängen.,A horse runs quickly in the meadow.
en kategori,Det finns en kategori av böcker som jag älskar.,There is a category of books that I love.
brittisk,Maten var brittisk och mycket god.,The food was British and very good.
en följd,Det var en följd av många misstag som ledde till problemet.,It was a consequence of many mistakes that led to the problem.
